Unnamed: 0,Random Order,Model,Emotion,Sex,Race,Age,condition_name,image_filename,Run Number,ISI
18,0.395042379,4,Pain,Female,African,Old,faces,7Pain_Model4_1Female_3African_2Old.mp4,1,2
66,0.778234544,4,Fear,Female,African,Old,faces,3Fear_Model4_1Female_3African_2Old.mp4,1,1
92,0.9908247,3,Surprise,Male,WC,Old,faces,2Surprise_Model3_2Male_1WC_2Old.mp4,1,1
25,0.27743408,1,Fear,Female,WC,Young,faces,3Fear_Model1_1Female_1WC_1Young.mp4,1,2
24,0.93455168,2,Happy,Male,African,Old,faces,1Happy_Model2_2Male_3African_2Old.mp4,1,1
83,0.543257482,2,Surprise,Male,African,Young,faces,2Surprise_Model2_2Male_3African_1Young.mp4,1,5
90,0.699721589,1,Disgust,Female,African,Old,faces,4Disgust_Model1_1Female_3African_2Old.mp4,1,1
71,0.326203962,5,Sad,Male,African,Young,faces,6Sad_Model5_2Male_3African_1Young.mp4,1,1
52,0.350633523,3,Fear,Female,EA,Old,faces,3Fear_Model3_1Female_2EA_2Old.mp4,1,1
12,0.126015413,3,Pain,Male,African,Old,faces,7Pain_Model3_2Male_3African_2Old.mp4,1,1
38,0.699666558,3,Sad,Female,WC,Old,faces,6Sad_Model3_1Female_1WC_2Old.mp4,1,3
37,0.621313692,3,Sad,Female,WC,Young,faces,6Sad_Model3_1Female_1WC_1Young.mp4,1,2
33,0.662351027,5,Pain,Male,EA,Young,faces,7Pain_Model5_2Male_2EA_1Young.mp4,1,3
15,0.218467436,3,Disgust,Female,EA,Young,faces,4Disgust_Model3_1Female_2EA_1Young.mp4,1,2
73,0.012047522,3,Anger,Female,WC,Young,faces,5Anger_Model3_1Female_1WC_1Young.mp4,1,2
25,0.86202635,3,Happy,Female,WC,Young,faces,1Happy_Model3_1Female_1WC_1Young.mp4,1,2
63,0.389356429,2,Anger,Female,EA,Young,faces,5Anger_Model2_1Female_2EA_1Young.mp4,1,2
49,0.670713955,2,Pleasure,Female,WC,Young,faces,8Pleasure_Model2_1Female_1WC_1Young.mp4,1,2
96,0.151977421,5,Pleasure,Male,African,Old,faces,8Pleasure_Model5_2Male_3African_2Old.mp4,1,4
93,0.107235372,5,Pleasure,Male,EA,Young,faces,8Pleasure_Model5_2Male_2EA_1Young.mp4,1,1
44,0.007708805,1,Pleasure,Male,WC,Old,faces,8Pleasure_Model1_2Male_1WC_2Old.mp4,1,2
79,0.280517031,3,Anger,Male,WC,Young,faces,5Anger_Model3_2Male_1WC_1Young.mp4,1,1
90,0.429290479,4,Anger,Female,African,Old,faces,5Anger_Model4_1Female_3African_2Old.mp4,1,2
89,0.324674658,3,Surprise,Female,African,Young,faces,2Surprise_Model3_1Female_3African_1Young.mp4,1,2
