Unnamed: 0,Random Order,Model,Emotion,Sex,Race,Age,condition_name,image_filename,Run Number,ISI
62,0.925369508,1,Surprise,Female,WC,Old,faces,2Surprise_Model1_1Female_1WC_2Old.mp4,1,2
79,0.003091977,2,Surprise,Male,WC,Young,faces,2Surprise_Model2_2Male_1WC_1Young.mp4,1,1
46,0.800709273,3,Sad,Male,EA,Old,faces,6Sad_Model3_2Male_2EA_2Old.mp4,1,1
55,0.501541685,2,Pleasure,Male,WC,Young,faces,8Pleasure_Model2_2Male_1WC_1Young.mp4,1,2
16,0.423808188,2,Happy,Female,EA,Old,faces,1Happy_Model2_1Female_2EA_2Old.mp4,1,1
28,0.762282835,2,Sad,Female,EA,Old,faces,6Sad_Model2_1Female_2EA_2Old.mp4,1,5
38,0.638821615,3,Sad,Female,WC,Old,faces,6Sad_Model3_1Female_1WC_2Old.mp4,1,1
44,0.120690109,1,Pleasure,Male,WC,Old,faces,8Pleasure_Model1_2Male_1WC_2Old.mp4,1,1
96,0.057423385,5,Pleasure,Male,African,Old,faces,8Pleasure_Model5_2Male_3African_2Old.mp4,1,1
1,0.714380772,3,Pain,Female,WC,Young,faces,7Pain_Model3_1Female_1WC_1Young.mp4,1,1
66,0.091136085,4,Fear,Female,African,Old,faces,3Fear_Model4_1Female_3African_2Old.mp4,1,3
32,0.031585381,5,Pain,Male,WC,Old,faces,7Pain_Model5_2Male_1WC_2Old.mp4,1,2
71,0.797420969,5,Sad,Male,African,Young,faces,6Sad_Model5_2Male_3African_1Young.mp4,1,3
59,0.126061158,3,Fear,Male,African,Young,faces,3Fear_Model3_2Male_3African_1Young.mp4,1,2
26,0.628036066,3,Happy,Female,WC,Old,faces,1Happy_Model3_1Female_1WC_2Old.mp4,1,2
22,0.233524119,5,Surprise,Male,EA,Old,faces,2Surprise_Model5_2Male_2EA_2Old.mp4,1,2
75,0.741045696,2,Surprise,Female,EA,Young,faces,2Surprise_Model2_1Female_2EA_1Young.mp4,1,2
90,0.348361534,4,Anger,Female,African,Old,faces,5Anger_Model4_1Female_3African_2Old.mp4,1,2
79,0.128831114,3,Anger,Male,WC,Young,faces,5Anger_Model3_2Male_1WC_1Young.mp4,1,4
44,0.447185617,2,Fear,Male,WC,Old,faces,3Fear_Model2_2Male_1WC_2Old.mp4,1,1
